Length	Resistance
5.5	37.52075263
8.25	37.57609297
11	37.63143331
13.75	37.68677366
16.5	37.68677366
19.25	37.742114
22	37.742114
24.75	37.63143331
27.5	37.68677366
30.25	37.52075263
33	37.57609297
35.75	37.63143331
38.5	37.68677366
41.25	37.742114
44	37.79745434
46.75	37.85279469
49.5	37.85279469
52.25	37.90813503
55	37.96347537
57.75	37.96347537
60.5	38.01881572
63.25	38.07415606
66	38.1294964
68.75	38.18483675
71.5	38.18483675
74.25	38.24017709
77	38.29551743
79.75	38.29551743
82.5	38.35085778
85.25	38.35085778
88	38.40619812
90.75	38.46153846
93.5	38.46153846
96.25	38.5168788
99	38.5168788
101.75	38.5168788
104.5	38.57221915
107.25	38.62755949
110	38.62755949
112.75	38.62755949
115.5	38.68289983
118.25	38.73824018
